COMMENT_ID,AUTHOR,DATE,CLASS,CONTENT_az
z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,Francisco Nora,2013-11-28T19:52:35,1,zəhmət olmasa bəyənin :D https://premium.easypromosapp.com/voteme/19924/616375350﻿
z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,Gaming and Stuff PRO,2013-11-28T21:14:13,1,"salam! Oyunu, bədii videoları, elmi təcrübələri, dərslikləri, mahnı sözləri videolarını və daha çoxunu bəyənirsiniz? Əgər istəyirsinizsə, lütfən kanalımızı yoxlayın və ona abunə olun, biz yeni başlamışıq, lakin tezliklə ümid edirik ki, bütün gözləntilərimizi qarşılaya biləcəyik... İndiyə qədər əldə etdiklərimizi də yoxlaya bilərsiniz!﻿"
z13bgdvyluihfv11i22rgxwhuvabzz1os04,Zielimeek21,2013-11-28T21:49:00,0,Mən yalnız baxışları yoxlayıram
z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,OutrightIgnite,2013-11-28T21:55:02,1,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&_trksid=p3984.m1555.l2649 ﻿
z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,Tony K Frazier,2013-11-28T23:57:13,1,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿
z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,Jose Renteria,2013-11-29T00:22:01,1,"Biz sizə musiqidən ilhamlanmış dizaynları təqdim etməyə həsr olunmuş bir EDM geyim şirkətiyik. Bizim geyimimiz istənilən rave və ya musiqi festivalı üçün idealdır. Bizdə NEON crop toplar, köynəklər, köynəklər, v-boyunlar və aksessuarlar var! Pulsuz hədiyyə xəbərləri və daha çoxu üçün bizi Facebook və ya instagramda izləyin! OnCueApparel-də saytımıza daxil olun"
z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,2013-11-29T02:13:56,0,"Məncə, təxminən 100 milyon baxış yalnız baxışları yoxlamaq istəyən insanlardan gəlir"
z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,Carlos Thegamer,2013-12-01T01:20:21,1,kanalıma abunə olun dostlar :D
z12ohdxjtsatvppjb04cctprprb1slnxdf4,OutrightIgnite,2013-12-01T03:30:55,1,BURADA QARŞI QURURUNUZU göstərin: http://www.teespring.com/tigermeathoodie﻿
z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,Owen Lai,2013-12-01T04:51:52,0,sadəcə baxışları yoxlayıram
LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,||GuitarZ||,2013-12-23T12:54:38,1,KANALIMA BAXIN
LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8,Living4Techno,2013-12-25T19:46:26,1,bazar şöhrəti. com/strategygame/andrijamatf oyundan real pul qazanır
LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,8-BitMusic,2013-12-27T23:07:50,1,"Hey uşaqlar! Mən 12 yaşlı musiqi prodüseriyəm. Mən chiptunes və 8bit musiqi hazırlayıram.  8 bitlik remikslərimdən bəzilərini yoxlasanız çox gözəl olardı! Bunu yoxlamaq istəyirsinizsə, mənim hətta gangnamstyle 8 bit remiksim var ;) Təşəkkürlər!"
z13kszcinpnvc34v2234fnpxkpmlw3nhc04,Kyle Jaber,2014-01-19T00:21:29,1,Məni yoxlayın! Mən Kyle. Mən belə rep ifa edirəm
z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,Brandon Pryor,2014-01-19T00:36:25,0,"Mən daha buna baxmıram, sadəcə olaraq 2 milyardı yoxlamaq üçün gəlirəm"
z13zvh1rmk3cf3mby04civbq5mjtddmbysk0k,Fun&amp;Hacks,2014-01-19T00:42:35,1,"Pulsuz Android oyunları, proqramları üçün mənə abunə olun"
z120y3ribybzdf3fj23sf1rpgq3cex0sh,Young Hittaz,2014-01-19T04:21:11,1,hamı zəhmət olmasa gəlin Martin Lüter Kinq Jr.-ın xatirələrindəki ən yeni mahnımızı yoxlayın
z13autsqgzblcx3w104chr4r2kexd10rxc0,DropShotSk8r,2014-01-19T04:27:18,0,"Baxışları yoxlamaq üçün bura gəldim, sağol"
z12wvpxppxz3ifk3j224cbsgqraherzrg04,ElepticRage,2014-01-19T08:55:53,1,heç bir səbəb olmadan kanalıma abunə olun -_-
z121e3zq5kj3ip2ch22ks3vwekuaibrgc04,Joengz,2014-01-19T10:31:10,1,"Fruity Loops ilə hazırlanmış dubstep mahnım ""Fireball""a baxın. Mən həqiqətən buna vaxt ayırdım.  /watch?v=telOA6RIO8o﻿"
z13kxpqqssa0hlryd04cc1dxeyyngljjngk,Tasha Lucius,2014-01-19T13:25:56,0,2 milyard....Tezliklə
z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k,Jason Provencal,2014-01-19T16:15:54,0,"Niyə dafuq ABŞ-da Koreya mahnısı bu qədər böyükdür. Bu o deməkdir ki, biz koreyalıları dəstəkləyirik? Keçən dəfə yoxladım ki, bizi bombalamaq istəyirdilər. ﻿"
z12txle43yfhvt0f323eghbxivmuytieq,Kiddy Kidso,2014-01-19T16:49:52,1,Zəhmət olmasa kanalımı yoxlayın! Və ən yaxşı musiqiyə qulaq asın: P﻿
z13zj1grjzqhhxzlj23gdpzaovunwnn0f,HamzaMurt | Advanced Warefare | Lets Play!,2014-01-19T17:20:58,1,4 ABUNƏ OLUN BU ŞƏRHİ BƏYƏNİN MƏN UĞURLU YOUTUBE İSTƏYİRƏM BU ŞƏRHİ BƏYƏNİN VƏ ABUNƏ OLUN BUNU Cəmi 10 SAKİYYƏ ALIR LÜTFƏN ABUNƏ OLSUN QEYDİ ABUNƏ OLACAQ.
z13csdop4venytrru04cf11q1wmbdvkrfpo0k,ii Trollercopter,2014-01-19T17:25:23,1,"Hamıya salam!! Mən ilk YT kanalıma yenicə başlamışam, bəziləri BF4-dəki ilk klipimə baxa bilsələr, minnətdar olaram! və videomun necə olduğu və onu necə təkmilləşdirə biləcəyim barədə mənə bəzi məsləhətlər verin. HƏMÇİNDƏ nə haqqında olduğumu görmək üçün bu barədə yoxlamağınızdan əmin olun. Vaxt ayırdığınız üçün təşəkkürlər :).  və nifrət edənlərə... Sən nifrət edirsən, MƏN QALAN"
z13ce52jzwfitrkup23din4ojputijen3,Eugene Kalinin,2014-01-19T19:21:04,1,"After Effects, Music, Foto, Web saytları və digər layihələri burada tapa və ala bilərsiniz http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿"
z13phfyxhovav1hl122bf5iidumufzbel,Cody Tolleson,2014-01-20T02:50:44,1,Möhtəşəm videolar üçün YouTube/codytolleson mən yenidən abunə olacağam
z13xytyybsypw34yv04cc33xkke1grugh2w,cake cat,2014-01-20T04:45:34,1,roblox minecraft world of warcraft gta 5 mario xoşunuza gəlirsə kanalıma abunə olun
z13vsbcjwrybe3hsf23sgvnxfr3zxnion04,World327RS,2014-01-20T06:16:28,1,"MƏNƏ ABUNƏ OL, MƏN SƏNƏ ABUNƏ OLAM! (Bəyənməlidir - cZFcxsn0jnQ) ﻿"
z12jvnua2tifirkvk23cfjtpxwmgxfch004,Didier Drogba,2014-01-20T06:57:25,1,http://www.twitch.tv/jaroadc gəlin izləyin və yayımımı izləyin!﻿
z13stv3brxe1snv2i225fnvganneudej004,MFkin PRXPHETZ,2014-01-20T09:08:39,1,"xam istedadı, raw sözləri, düz real hip hopu sevirsinizsə Hamı mənim ən yeni səsimi yoxlayın Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen) ŞƏRH YAZIN MƏNƏ DÜŞÜNÜRÜNÜZÜ DEYİN TƏNBƏL OLMAYIN!!!!  - 1/7 Peyğəmbərz"
z12ktfsarrv0wdj3p22ifbxz3zn2fthhw04,Dave X,2014-01-20T10:12:07,1,....abone olun...... ......kanalıma........﻿
z121znjjloycwtjf2233dfo5esfggn3lj,crestpee,2014-01-20T13:03:12,0,"indi onun 1,884,034,783 baxışı var! pls. növbəti saat baxış sayına şərh verin :P﻿"
z125zbmwryjwxzx4504cfjzwbtztuvkif3c,Leonardo Baptista,2014-01-20T15:10:27,1,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿
z12stpyqaonsercxw04cjbr4dlnrxd34soo0k,Phuc Ly,2014-01-20T15:27:47,0,baxışları yoxlamaq üçün buraya gedin: 3￼
z13nvr2xayrwffsio04cj3zwyuf3vb1imdg,Milan George,2014-01-20T16:15:09,0,"Bu videoya baxış sayına baxmaq üçün onu yoxlasanız, bəyənin"
z13uzhdomzvbffvwa04cgplq2zewfz2hm2k,Kirsty Brown,2014-01-20T16:41:27,1,Xahiş edirəm kanalıma abunə olun və mən də xx﻿ abunə olacağam
z13ucxa51rnftvu2j22if5oihq2qipjlp,Kochos,2014-01-20T17:08:37,0,2x10^9 baxış əldə etmək üçün tez-tez yoxlayıram və Baby﻿-a baxmaqdan çəkinirəm
z120grixiomvyvbga04cfl24csz5jf4zzuc0k,eSkiip,2014-01-20T17:22:53,0,Sadəcə insanların 2 milyardı keçib-keçmədiyini yoxladığı üçün bu video 2 milyarda çatacaq.﻿
z13gevgohyzktbztz22mcrcpntfxvpvan04,Wumrogue lite,2014-01-20T17:29:52,1,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Bu facebook səhifəsini bəyənin! Iphone 5S qazanmaq şansı!
z12gy5tb2kase1nix04cipry3mf1wh5grko0k,Ruddy Tapia,2014-01-20T17:58:46,1,2015 superbowl oynamaq üçün GWAR əldə edin http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿
z13hxl3yoqmlvdlnu23atlqgsoyevlsse,Artsi,2014-01-20T18:52:12,1,Zəhmət olmasa bu kanalı izləyin!! http://www.twitch.tv/sevadus﻿
z12gv5qoconqsbe0h221wljgmwe4v1nmu,ProsGamerOnly,2014-01-20T20:00:55,1,salam dostlar youtube kanalıma baxın
z13eepr4dyjet34pt04cgr1rctvwsvqwqso0k,JP Jochem,2014-01-20T20:23:35,1,Minecraft-da videolar haqqında daha çox məlumat üçün abunə olun və bəyənin!
z121st5w5k3ui1veg22zirn4gkr5tby2v,Jdidk Loma,2014-01-20T20:35:56,1,http://tankionline.com#friend=cd92db3f4 əla oyun yoxlayın!﻿
z13osnp4hnzry1o15224yfzbotr0epxqk04,BaconBro HD,2014-01-20T21:11:52,1,Mənə abunə olun!
z12rgllzmwnfuba4h04ch3njgy2fg3ryerg0k,Eanna Cusack,2014-01-20T22:20:59,0,Mən sadəcə onun nə qədər baxış olduğunu yoxlamaq üçün gedirəm
z12rc1ebfvrmufz5w04ccl2pmt3ih5dymq40k,fastestghost,2014-01-21T02:09:22,0,İlk şərh açıq şəkildə Çak Norrisdir: D﻿
z13mcpkzpoz1hj3o304cfd3oouf2tj1rnk40k,StuntmanGaming,2014-01-21T02:29:43,0,Tarixin ən çox baxılan youtube videosuna baxın
z121cnnzhsybzjkt122nsviacsekvvt1r,Master Chief,2014-01-21T03:16:46,0,bu nə vaxt 2 milyarda çatacaq?
z125gx4g5wemgtyvr23ryvlrbxjvwl2mi,David Bell,2014-01-21T03:18:31,0,bütün zamanların ən çox baxılan youtube videosu?
z12lzbu4iymmvjgj004cdjaonunljbjwwo00k,virgie natividad,2014-01-21T07:33:30,0,969.210 bəyənmədiyini bəyənənlər özlərini bəyənmirlər
z13kvvkixzvadn5ii04chnnbsvn3w1pq5dk,asd ad,2014-01-21T08:22:06,0,psy=koreya
z13zz3cjwmztcni0p23ug3vb0pasfvzqc04,Dymetex,2014-01-21T09:03:36,0,"OMG bu oldspice spraytan party reklamı omg....mən burada otururam ""Yox bu real bir şey deyil? OMG""﻿"
z12ifxrbkmaechwtt22jwryqmoaefhipf04,MrTuizentfloot,2014-01-21T13:39:13,0,"Bu, YouTube-da bu qədər çox baxış toplayan yeganə videodur ki, biz onun nə qədər baxış olduğunu görmək istəyirik. Hər gün 1.000.000, demək istəyirəm ki, əksər insanlar videonun 1.000.000 baxış topladığı zaman məşhur olduğunu düşünür.﻿"
LZQPQhLyRh_hbykd_Xw4oDROJbJTFrs-UbSB2xk8gRk,OREOGAM3R,2014-01-25T19:36:25,0,"Artıq xeyli müddətdir ki, geri qayıdır."
LZQPQhLyRh9U7Lv_DKpJ7lawpBCotxfgHzBy93Tk028,LEONARDO CAETANO,2014-01-27T19:36:00,0,2014-cü ildə 2 mlrd
z12eexphzo2uslizg04cirmywyzjdnm5gqc0k,fab life,2014-11-02T00:48:57,1,"zəhmət olmasa fablife-a baxın / DIYs və problemlər üçün fablife-a xoş gəlmisiniz, buna görə də zəhmət olmasa abunə olun thx!﻿"
z124fn5ahqnfdbxtg23ihlijyqjqtr1lk,Oh 1080s,2014-11-02T01:08:10,1,Kanalıma abunə olun!
z12lubwrvv35zpzub23ywxbbiuawjbalc,Ariel Baptista,2014-11-02T05:06:46,1,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&_trksid=p3984.m1555.l2649 ﻿
z13osfxhtkfmwpxue234z3wimzmcs1k2x,Stefano Albanese,2014-11-02T12:04:36,1,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿
z12tcdxa5k3bsvtqh04ccnaqusj1vvfju3s,Salim Tayara,2014-11-02T14:33:30,1,"Əgər dronları bəyənirsinizsə, Kamal Tayara abunə olun. O, dronu ilə tamamilə gözəl videolar çəkir"
z13gsp34uumcdje4q04civk54zr4wr0gxjc,Lucky D.,2014-11-02T14:53:06,1,http://hackfbaccountlive.com/?ref=4604617﻿
z123e1gg3zyuf30ox04cdtbzgmaby3ehjc0,Lucas Trigo,2014-11-02T15:52:22,1,"HƏR KƏSİN NƏ VAR!? :-) Mən İstedadımı Dünyaya Göstərməyə Çalışıram! 3000-dən çox ABUNƏÇİM VAR! Söz verirəm! Mən Əzmirəm! Lütfən, Mənim Qapaqlarımı Ətrafınıza Yayın, ABUNƏ OLUN və Paylaşın! Bütün dəstəyiniz üçün çox sağ olun! Lucas Trigo - Möhtəşəm qalın! ﻿"
z13ezz5zsz3pyhyip04cibtpwwbdejzrmlk0k,TheHariiiii,2014-11-02T16:17:11,1,----->>>>  https://www.facebook.com/video.php?v=10200253113705769&set=vb.201470069872822&type=3&permPage=1  <--------﻿
z12ywjvgdtrhxdlz504cd1tquqvuhbs4abw,Angel,2014-11-02T17:27:09,1,"Salam~Mən Koreya pop qrupu olan Angel qrupunun lideriyəm. Bizim dörd üzvümüz var, Chanicka, Julie, Stefani və mən, Leah. Zəhmət olmasa kanalımızı yoxlayın və cover videolarımızla bağlı rəy bildirin (: tənqid xoşdur, çünki biz yüksək səviyyəli müğənnilər deyilik, ona görə də gəlin videolarımızla bağlı konstruktiv rəy bildirin; dinləmədən əvvəl təkmilləşdirmək üçün hər hansı şansı qiymətləndiririk. Koreyalı menecment şirkəti üçün JYP, BigHit, Jellyfish, YG və ya SM üçün dinləmələr keçirməyi planlaşdırırıq"
z122f1fy5muwdxdxd04cexyxes3hh5hrifc,Squir3,2014-11-02T18:34:03,1,http://woobox.com/33gxrf/brt0u5 PULSUZ CS GO!!!!﻿
z12jud4o3n34v5wph04ce3db0y2njn55gog0k,Kaya Roberts,2014-11-02T20:00:37,0,"Etiraf edin ki, siz buraya sadəcə olaraq tamaşaçıların sayını yoxlamaq üçün gəlmisiniz"
z12xxjkwevvjzvvms22xz3sjqovty3qip04,Prim N.,2014-11-02T22:48:21,0,"Sadəcə insanların bu videoya hələ də baxıb-baxmadığını yoxlamaq üçün gəlirəm. Və görünür, hələ də edirlər."
z13ydfww3ruysvtmv23muhspwqqjszwjc04,James Ridge,2014-11-02T23:25:44,1,İlk videoma baxın
z13vs53zipmszf1ib04cerd5xlmzdz5qlzw0k,Minecraft-Viasat,2014-11-03T14:38:53,1,Kanalımı yoxlayın
z13wzt5yezvhsboz104cjlkqalz0fpcglmk0k,Alessio Siri,2014-11-03T16:43:36,0,PSY - GANGNAM STYLE (Gangnam Style) M/V: http://youtu.be/9bZkp7q19f0﻿
z135fnx4ntvdx1rzn04cih1ihmqtsrbzcno0k,Backup Plus,2014-11-03T17:39:07,1,Kanalıma Abunə Olun Zəhmət olmasa XD lol
z13dztbi0nnvdruas04cjrmjwrnvvd4jxjw,Almighty Toffeebomb,2014-11-03T19:09:40,0,vay. Bununla bağlı şərh bölməsi hələ də aktivdir. Pis deyil. Həmçinin 5277478 şərh.  (indi 79).
z13hgfzhnrj3sx0m222sfbo4drq1e5xyp04,Meth Lover,2014-11-03T20:32:26,1,http://binbox.io/1FIRo#123﻿
z12pzpvbfl2igbwhe04cihtpuwymvr5gvsg0k,NstyIC Gold,2014-11-03T20:41:23,0,Ching Ching ling long ding ring yaaaaaa Ganga sty SICK SİZİ.﻿
z12wvpdwfzzkfrerq04civhigpqrcxmxjzc0k,Никита Безухов,2014-11-03T21:38:17,1,https://www.indiegogo.com/projects/cleaning-the-pan--2 zəhmət olmasa layihəmdə mənə kömək edin﻿
z13tdv5jmlfpzj1rf04cd3ng4ljqjngxflg0k,Михаил Панкратов,2014-11-03T22:22:14,1,Kanalımda qardaşım haqqında bir video var...
z12ufn5puwnve3b2k22ntjqogym0fllgb04,Angek95,2014-11-03T22:28:56,1,"Kanalımı yoxlayın, zəhmət olmasa!"
z13xslra3myri3jsn22hs1wxbyuvxplr004,Arianna Leighton,2014-11-03T23:02:47,1,"Burada kimsə Amazon, itunes, psn, google play, itunes və ya hər hansı digər hədiyyə kartları kimi hədiyyə kartlarından istifadə edir? Onda siz heyrətamiz bir saytdan pulsuz hədiyyə kartı kodlarını əldə edə biləcəyinizi bilməkdən xoşbəxt olacaqsınız. Budur 50 dollarlıq itunes hədiyyə kartı kodu XXBB5TCZHM39HVZD﻿"
z132v5iajkjuhfkyn04cg3mxclnnzj0yxmo0k,richardex8,2014-11-03T23:03:03,0,"Niyə bu videoya bu qədər çox baxış var? Çünki Asiya şeyləri möhtəşəmdir və qeyri-Asiya ölkələri jeledir, ona görə də bu videoya baxaraq Asiyadan öyrənməyə çalışırlar d:﻿"
z12mtx5hxnutsxzfn23tsljjrm2mwxtwm04,Олег Пась,2014-11-03T23:29:00,1,Kanalımla birlikdə olun
z121ft552pzpzhiab04cffmwitfii3lr5v40k,Crooked Gaming,2014-11-04T00:00:57,1,Mən oyun kanalı yaratdım (Unikal deyilmi?) :L Angry Minecraft!﻿
z135jnejqyylxvxc323tifugxr3idl1oq04,Monwar Sarkar,2014-11-04T00:18:07,1,"Zəhmət olmasa, http://www.gofundme.com/littlebrother﻿ bura getməyimə kömək edin"
z13zfpqpvpyvwfymk232ux4odsr1s5wm0,Jack ToadROXMK,2014-11-04T02:00:14,1,Mənə abunə olan hər kəs 10 abunəçi qazanacaq
z13sx1mitrmpcls3f22hi5ep1yq5cvmld,roflcopter2110,2014-11-04T02:22:06,1,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿
z13juvrhisuzsfczo04cgnsxhlfdiz2rhho,Imprezzi Vidzz,2014-11-04T03:12:23,1,"Videolarım yarı yoldadır, istəyirsinizsə, onlara baxın"
z130gviqarmshdnau04cdzigvs3jepx4qw00k,khir abqari,2014-11-04T07:37:28,0,"Bu videonun 2 milyard baxışa layiq olmadığını söylədilər , izləyicini izləmək üçün onu ziyarət etməyə davam etdilər . ﻿"
z12zdj5ptyzpurkan04chtsqjszjxfmrk2w,Gloria Garcia,2014-11-04T11:38:51,1,itz recaps və yuxarıdakı diddle abunə olun
z12li5throi5u540y220chro4nn5gl52k,xSparkShark,2014-11-04T12:40:15,0,Bu çinli axmaqlığı vidalayın mən onun nə dediyini heç başa düşmürəm. Niyə hamı kimi ingiliscə danışmır?
z13dsnfaozyyil4m322jijgx5m3aehem2,Emerson Zanol Zanol,2014-11-04T13:48:04,1,pul lazımdır? https://www.tsu.co/emerson_zanol﻿ həzz alın
z13tczojhrqbjhv2c23kfby5wpysgpopa04,Lars Zaadstra,2014-11-04T13:54:25,1,VisuelgamingzNL kanalıma abunə oldum
z13qgx0yzwf1uj1xm04ccbkhjnrsgz0i41g,firo mota,2014-11-04T14:38:42,1,zəhmət olmasa abunə olun mən yeni youtuberəm və köməyə ehtiyacım var zəhmət olmasa abunə olun və mən yenidən abunə olacağam :D hoppa HOPPA GaNgAm StYlE﻿
z13qgviizlv1d1c1422lylyahqz2h1zm5,Connor Groom,2014-11-04T18:00:07,1,mahnını bəyənmirsinizsə mənə abunə olun
z13sgnbzkwjqhhd5004cfzaheobvzbuopyg0k,Kaiser Dragon,2014-11-04T18:09:18,0,Bu qəribə videodur.
z13etzhwwvzye1oav04cehnitxf5cx2xkts0k,Monster Sifou,2014-11-04T18:30:39,0,"8 milyon bəyənmə xD, hətta abunəçi 8 milyon xD deyil"
z123jlf4lzjbgpbcr23yhxyqbpe3gxpvm,TIGERIO_,2014-11-04T19:46:38,1,EHI DOSTLAR KANALIMA ABUNƏ OLA BİLƏRSİNİZ? MƏN YENİ YOUTUBERƏM VƏ MAYNECRAFT OYNARIRAM TƏŞƏKKÜRLƏR OĞLANLAR!... ABUNƏ OLUN!﻿
z13kfzqicymszt0jp04ci5gqvqemyb2jsp00k,OFFICIAL LEXIS,2014-11-04T20:22:21,1,"Hamıya salam! Musiqi xoşunuza gəlirmi? O zaman niyə mənim musiqi kanalıma baxmayaq.  LEXIS qrupu tezliklə öz mahnılarını və coverlərini yükləyəcək, qaçırmayın. Zəhmət olmasa ABUNƏ OLUN, çünki bu bizə çox kömək edir. Sadəcə bir klik alır. ->"
z12ftpab5svihfffz23kf3iiymiwjzesi,trespasser4000,2014-11-04T22:07:22,0,Bu mahnı heç vaxt köhnəlmir
z13oyfkydl30exyip04cejozdtahgvx44ao,Pat M,2014-11-05T00:21:29,1,gofundme.com/grwmps﻿
z13cyzbbqsrxyfaec23xc10rdrrqgd0ch,Malin Linford,2014-11-05T01:13:43,1,"Hey uşaqlar, zəhmət olmasa yeni Google+ səhifəmə baxın, orada çoxlu gülməli şəkillər var, FunnyTortsPics https://plus.google.com/112720997191206369631/post﻿"
z13jsrtahyyqv53jc04cdr4bcwfwg3lauek,kenny clayton,2014-11-05T06:34:19,0,#2012bitches﻿
z135f3rwwnjafnnrv04cirmifl3lipewgl40k,Akymonix,2014-11-05T07:01:34,0,Çin istehsalı....
z13lip25arigch3rj04cf1ko0pnczzyrtng0k,Gaming Land,2014-11-05T07:48:10,0,5 milyon şərh və 2 milyard baxış
z13mzp44ul21sdqcj22sgriokxyuy5det,tom hawksbee,2014-11-05T07:49:21,0,0 sıfırdır
z12rsjsiimjkjfkwt04ccbgosvrbgxupxu00k,Norman Reid,2014-11-05T08:12:06,0,Mix - PSY - GANGNAM STYLE (Gangnam Style) M/V: PSY - GANGNAM STYLE (Gangnam Style) M/V﻿
z13wfr2rbwytwbhf123cs1l5lz2aefdex,Emily Hamilton,2014-11-05T08:42:06,0,Buna 2 milyarddan çox baxış olub.  allah bele.
z13vx3kbgmq5fnlgj04cfdoqtpfyw5xqzuc0k,rolle54100,2014-11-05T10:43:27,0,"necə 2.124.821.694 baxış ola bilər ki, mən zombi apokalipsisindən sonra sağ qalan yeganə insanam - salam, spoderman :)﻿"
z135vx5jfu2mfvwvr22cj11wupbtfr1gz04,MrBrunoExtreme,2014-11-05T15:10:43,1,Kanalıma abunə olun zəhmət olmasa
z13pdjsgqkjjtnlqz04cgtxafxqtylmixxg0k,xMasterGGx,2014-11-05T15:25:34,0,"2,124923004 baxış... vay"
z12jc1uququpzbsoq04cg15poyfsxpvoojw,pro stomper,2014-11-05T15:27:34,1,dostlar zəhmət olmasa kanalımın böyüməsinə kömək etmək üçün mənə abunə olun
z124i3ygclj0xn4ly22jzb5a2ubvtbev1,Abdinasir Omar,2014-11-05T15:28:28,0,Hər halda əla musiqi
z12kuncrps35wp1l0220s3t4ym32dtpin04,Aleksaivan Neidert,2014-11-05T15:35:49,0,PSY - GANGNAM STYLE (Gangnam Style) M/V: http://youtu.be/9bZkp7q19f0﻿
z123gnabnwbqtr1e022jejij0zzzez2os04,Luat ha hpuoc,2014-11-05T15:38:10,0,"o qədər dəli, 2 milyarddan çox baxış, nə ABŞ, nə İngiltərə, onun Koreya respublikası, onun asiyası"
z121jvbjakmbehsys04ce5yj1y3hxx0hzsk0k,abdellah chafouai,2014-11-05T16:12:51,1,Gənc Mərakeşin gözəl mahnısını kəşf edin http://www.linkbucks.com/AcN2g﻿
